"date","amount","category","currency","company","source"
"1985-11-08","0.0767839","Close Price","USD","AAPL.US","stooq.com"
"1985-11-11","0.0749963","Close Price","USD","AAPL.US","stooq.com"
"1985-11-12","0.0743874","Close Price","USD","AAPL.US","stooq.com"
"1985-11-13","0.0725704","Close Price","USD","AAPL.US","stooq.com"
"1985-11-14","0.0749963","Close Price","USD","AAPL.US","stooq.com"
"1985-11-15","0.0743874","Close Price","USD","AAPL.US","stooq.com"
"1985-11-18","0.0743874","Close Price","USD","AAPL.US","stooq.com"
"1985-11-19","0.0719614","Close Price","USD","AAPL.US","stooq.com"
"1985-11-20","0.0710777","Close Price","USD","AAPL.US","stooq.com"
"1985-11-21","0.0710777","Close Price","USD","AAPL.US","stooq.com"
"1985-11-22","0.0710777","Close Price","USD","AAPL.US","stooq.com"
"1985-11-25","0.0713624","Close Price","USD","AAPL.US","stooq.com"
"1985-11-26","0.0725704","Close Price","USD","AAPL.US","stooq.com"
"1985-11-27","0.0749963","Close Price","USD","AAPL.US","stooq.com"
"1985-11-29","0.0752715","Close Price","USD","AAPL.US","stooq.com"
"1985-12-02","0.0755856","Close Price","USD","AAPL.US","stooq.com"
"1985-12-03","0.0752715","Close Price","USD","AAPL.US","stooq.com"
"1985-12-04","0.0767839","Close Price","USD","AAPL.US","stooq.com"
"1985-12-05","0.0752715","Close Price","USD","AAPL.US","stooq.com"
"1985-12-06","0.0737884","Close Price","USD","AAPL.US","stooq.com"
"1985-12-09","0.0725704","Close Price","USD","AAPL.US","stooq.com"
"1985-12-10","0.0728848","Close Price","USD","AAPL.US","stooq.com"
"1985-12-11","0.0737884","Close Price","USD","AAPL.US","stooq.com"
"1985-12-12","0.0749963","Close Price","USD","AAPL.US","stooq.com"
"1985-12-13","0.0749963","Close Price","USD","AAPL.US","stooq.com"
"1985-12-16","0.0779721","Close Price","USD","AAPL.US","stooq.com"
"1985-12-17","0.0770687","Close Price","USD","AAPL.US","stooq.com"
"1985-12-18","0.0830794","Close Price","USD","AAPL.US","stooq.com"
"1985-12-19","0.0842578","Close Price","USD","AAPL.US","stooq.com"
"1985-12-20","0.0836687","Close Price","USD","AAPL.US","stooq.com"
"1985-12-23","0.0818714","Close Price","USD","AAPL.US","stooq.com"
"1985-12-24","0.0812821","Close Price","USD","AAPL.US","stooq.com"
"1985-12-26","0.0812821","Close Price","USD","AAPL.US","stooq.com"
"1985-12-27","0.0836687","Close Price","USD","AAPL.US","stooq.com"
"1985-12-30","0.0830794","Close Price","USD","AAPL.US","stooq.com"
"1985-12-31","0.0821661","Close Price","USD","AAPL.US","stooq.com"
"1986-01-02","0.0830794","Close Price","USD","AAPL.US","stooq.com"
"1986-01-03","0.0836687","Close Price","USD","AAPL.US","stooq.com"
"1986-01-06","0.0830794","Close Price","USD","AAPL.US","stooq.com"
"1986-01-07","0.0860848","Close Price","USD","AAPL.US","stooq.com"
"1986-01-08","0.0854757","Close Price","USD","AAPL.US","stooq.com"
"1986-01-09","0.0845623","Close Price","USD","AAPL.US","stooq.com"
"1986-01-10","0.0848669","Close Price","USD","AAPL.US","stooq.com"
"1986-01-13","0.0860848","Close Price","USD","AAPL.US","stooq.com"
"1986-01-14","0.0869883","Close Price","USD","AAPL.US","stooq.com"
"1986-01-15","0.0893652","Close Price","USD","AAPL.US","stooq.com"
"1986-01-16","0.0917714","Close Price","USD","AAPL.US","stooq.com"
"1986-01-17","0.0896599","Close Price","USD","AAPL.US","stooq.com"
"1986-01-20","0.0893652","Close Price","USD","AAPL.US","stooq.com"
"1986-01-21","0.0896599","Close Price","USD","AAPL.US","stooq.com"
"1986-01-22","0.0875876","Close Price","USD","AAPL.US","stooq.com"
"1986-01-23","0.0860848","Close Price","USD","AAPL.US","stooq.com"
"1986-01-24","0.0845623","Close Price","USD","AAPL.US","stooq.com"
"1986-01-27","0.082775","Close Price","USD","AAPL.US","stooq.com"
"1986-01-28","0.0830794","Close Price","USD","AAPL.US","stooq.com"
"1986-01-29","0.0881766","Close Price","USD","AAPL.US","stooq.com"
"1986-01-30","0.0860848","Close Price","USD","AAPL.US","stooq.com"
"1986-01-31","0.0863893","Close Price","USD","AAPL.US","stooq.com"
"1986-02-03","0.0893652","Close Price","USD","AAPL.US","stooq.com"
"1986-02-04","0.0887757","Close Price","USD","AAPL.US","stooq.com"
"1986-02-05","0.0887757","Close Price","USD","AAPL.US","stooq.com"
"1986-02-06","0.0899741","Close Price","USD","AAPL.US","stooq.com"
"1986-02-07","0.0896599","Close Price","USD","AAPL.US","stooq.com"
"1986-02-10","0.0893652","Close Price","USD","AAPL.US","stooq.com"
"1986-02-11","0.0893652","Close Price","USD","AAPL.US","stooq.com"
"1986-02-12","0.0896599","Close Price","USD","AAPL.US","stooq.com"
"1986-02-13","0.0893652","Close Price","USD","AAPL.US","stooq.com"
"1986-02-14","0.0887757","Close Price","USD","AAPL.US","stooq.com"
"1986-02-18","0.0893652","Close Price","USD","AAPL.US","stooq.com"
"1986-02-19","0.0935884","Close Price","USD","AAPL.US","stooq.com"
"1986-02-20","0.0938731","Close Price","USD","AAPL.US","stooq.com"
"1986-02-21","0.0944821","Close Price","USD","AAPL.US","stooq.com"
"1986-02-24","0.0962794","Close Price","USD","AAPL.US","stooq.com"
"1986-02-25","0.098676","Close Price","USD","AAPL.US","stooq.com"
"1986-02-26","0.0971633","Close Price","USD","AAPL.US","stooq.com"
"1986-02-27","0.0956707","Close Price","USD","AAPL.US","stooq.com"
"1986-02-28","0.0935884","Close Price","USD","AAPL.US","stooq.com"
"1986-03-03","0.0920757","Close Price","USD","AAPL.US","stooq.com"
"1986-03-04","0.0920757","Close Price","USD","AAPL.US","stooq.com"
"1986-03-05","0.0944821","Close Price","USD","AAPL.US","stooq.com"
"1986-03-06","0.0950518","Close Price","USD","AAPL.US","stooq.com"
"1986-03-07","0.0923707","Close Price","USD","AAPL.US","stooq.com"
"1986-03-10","0.0920757","Close Price","USD","AAPL.US","stooq.com"
"1986-03-11","0.0929793","Close Price","USD","AAPL.US","stooq.com"
"1986-03-12","0.0923707","Close Price","USD","AAPL.US","stooq.com"
